Old relationship type;Origin;Target;New relationship type;Direction
http://xml.metis.no/xml/relationship_types/act_as-carried_out_by.kmd#oid1;http://xml.metis.no/xml/object_types/person.kmd#oid1;http://xml.metis.no/xml/object_types/service.kmd#oid1;metis:stdtypes#oid114;out
http://xml.metis.no/xml/relationship_types/act_as-carried_out_by.kmd#oid1;http://xml.metis.no/xml/object_types/person.kmd#oid1;http://xml.metis.no/xml/object_types/application.kmd#oid1;metis:stdtypes#oid114;out
http://xml.metis.no/xml/relationship_types/act_as-carried_out_by.kmd#oid1;http://xml.metis.no/xml/object_types/position.kmd#oid1;http://xml.metis.no/xml/object_types/role.kmd#oid1;http://xml.metis.no/xml/relationship_types/act_as-carried_out_by2.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/general_product.kmd#oid1;http://xml.metis.no/xml/object_types/general_product.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by4.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/goal.kmd#oid1;http://xml.metis.no/xml/object_types/policy.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/market_strategy.kmd#oid1;http://xml.metis.no/xml/object_types/critical_success_factor.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by6.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/market_strategy.kmd#oid1;http://xml.metis.no/xml/object_types/sales_item.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by6.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/market_strategy.kmd#oid1;http://xml.metis.no/xml/object_types/scenario.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by6.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/market_strategy.kmd#oid1;http://xml.metis.no/xml/object_types/strategic_requirement.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by6.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/objective.kmd#oid1;http://xml.metis.no/xml/object_types/policy.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/product_strategy.kmd#oid1;http://xml.metis.no/xml/object_types/general_product.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by6.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/product_strategy.kmd#oid1;http://xml.metis.no/xml/object_types/sales_item.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by6.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/project_change.kmd#oid1;http://xml.metis.no/xml/object_types/project.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by7.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/recommendation.kmd#oid1;http://xml.metis.no/xml/object_types/analysis.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by8.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/risk.kmd#oid1;http://xml.metis.no/xml/object_types/action.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by9.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/risk.kmd#oid1;http://xml.metis.no/xml/object_types/initiative.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by9.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/rule.kmd#oid1;http://xml.metis.no/xml/object_types/application.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by10.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/rule.kmd#oid1;http://xml.metis.no/xml/object_types/process.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by10.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/scenario.kmd#oid1;http://xml.metis.no/xml/object_types/business_process.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by11.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/strategy.kmd#oid1;http://xml.metis.no/xml/object_types/business_process.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by3.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/trend_truth.kmd#oid1;http://xml.metis.no/xml/object_types/scenario.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by12.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/affects-affected_by.kmd#oid1;http://xml.metis.no/xml/object_types/trend_truth.kmd#oid1;http://xml.metis.no/xml/object_types/target_customer.kmd#oid1;http://xml.metis.no/xml/relationship_types/affects-affected_by12.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/applies_to-has.kmd#oid1;http://xml.metis.no/xml/object_types/acceptance_criteria.kmd#oid1;http://xml.metis.no/xml/object_types/general_product.kmd#oid1;http://xml.metis.no/xml/relationship_types/applies_to-has2.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/applies_to-has.kmd#oid1;http://xml.metis.no/xml/object_types/acceptance_criteria.kmd#oid1;http://xml.metis.no/xml/object_types/it_entity.kmd#oid1;http://xml.metis.no/xml/relationship_types/applies_to-has2.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/applies_to-has.kmd#oid1;http://xml.metis.no/xml/object_types/it_requirement.kmd#oid1;http://xml.metis.no/xml/object_types/it_entity.kmd#oid1;http://xml.metis.no/xml/relationship_types/applies_to-has3.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/applies_to-has.kmd#oid1;http://xml.metis.no/xml/object_types/prerequisite.kmd#oid1;http://xml.metis.no/xml/object_types/scenario.kmd#oid1;http://xml.metis.no/xml/relationship_types/applies_to-has4.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/applies_to-has.kmd#oid1;http://xml.metis.no/xml/object_types/task.kmd#oid1;http://xml.metis.no/xml/object_types/organization.kmd#oid1;metis:stdtypes#oid114;out
http://xml.metis.no/xml/relationship_types/applies_to-has.kmd#oid1;http://xml.metis.no/xml/object_types/transition_directive.kmd#oid1;http://xml.metis.no/xml/object_types/transition_strategy.kmd#oid1;http://xml.metis.no/xml/relationship_types/applies_to-has5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/applies_to-has.kmd#oid1;http://xml.metis.no/xml/object_types/transition_strategy.kmd#oid1;http://xml.metis.no/xml/object_types/transition_plan_item.kmd#oid1;http://xml.metis.no/xml/relationship_types/applies_to-has5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/approached_by-approaches.kmd#oid1;http://xml.metis.no/xml/object_types/target_customer.kmd#oid1;http://xml.metis.no/xml/object_types/competitor.kmd#oid1;metis:stdtypes#oid114;out
http://xml.metis.no/xml/relationship_types/approached_with-approaches.kmd#oid1;http://xml.metis.no/xml/object_types/target_customer.kmd#oid1;http://xml.metis.no/xml/object_types/partnership.kmd#oid1;metis:stdtypes#oid114;out
http://xml.metis.no/xml/relationship_types/belongs_to-substance_class_for.kmd#oid1;http://xml.metis.no/xml/object_types/substance.kmd#oid1;http://xml.metis.no/xml/object_types/substanceclass.kmd#oid1;metis:stdtypes#oid114;out
http://xml.metis.no/xml/relationship_types/belongs_to-substance_class_for.kmd#oid1;http://xml.metis.no/xml/object_types/substanceclass.kmd#oid1;http://xml.metis.no/xml/object_types/substanceclass.kmd#oid1;metis:stdtypes#oid114;out
http://xml.metis.no/xml/relationship_types/category_of-belongs_to.kmd#oid1;http://xml.metis.no/xml/object_types/application.kmd#oid1;http://xml.metis.no/xml/object_types/application.kmd#oid1;metis:stdtypes#oid114;out
http://xml.metis.no/xml/relationship_types/category_of-belongs_to.kmd#oid1;http://xml.metis.no/xml/object_types/application_building_block.kmd#oid1;http://xml.metis.no/xml/object_types/application_building_block.kmd#oid1;metis:stdtypes#oid114;out
http://xml.metis.no/xml/relationship_types/category_of-belongs_to.kmd#oid1;http://xml.metis.no/xml/object_types/basic_software.kmd#oid1;http://xml.metis.no/xml/object_types/basic_software.kmd#oid1;metis:stdtypes#oid114;out
http://xml.metis.no/xml/relationship_types/category_of-belongs_to.kmd#oid1;http://xml.metis.no/xml/object_types/computing_system.kmd#oid1;http://xml.metis.no/xml/object_types/computing_system.kmd#oid1;metis:stdtypes#oid114;out
http://xml.metis.no/xml/relationship_types/category_of-belongs_to.kmd#oid1;http://xml.metis.no/xml/object_types/database.kmd#oid1;http://xml.metis.no/xml/object_types/database.kmd#oid1;metis:stdtypes#oid114;out
