Old relationship type;Origin;Target;New relationship type;Direction
http://xml.metis.no/xml/relationship_types/responsible_for-has_responsible.kmd#oid1;http://xml.metis.no/xml/object_types/role.kmd#oid1;http://xml.metis.no/xml/object_types/business_process.kmd#oid1;http://xml.metis.no/xml/relationship_types/has_responsible-responsible_for.kmd#oid1;in
http://xml.metis.no/xml/relationship_types/act_as-carried_out_by.kmd#oid1;http://xml.metis.no/xml/object_types/application.kmd#oid1;http://xml.metis.no/xml/object_types/resource.kmd#oid1;http://xml.metis.no/xml/relationship_types/act_as-carried_out_by.kmd3#oid1;in
http://xml.metis.no/xml/relationship_types/has_role-role_of.kmd#oid1;http://xml.metis.no/xml/object_types/productitem.kmd#oid1;http://xml.metis.no/xml/object_types/role.kmd#oid1;http://xml.metis.no/xml/relationship_types/is_role_of-has_role.kmd#oid1;in
http://xml.metis.no/xml/relationship_types/is_role_of-has_role.kmd#oid1;http://xml.metis.no/xml/object_types/role.kmd#oid1;http://xml.metis.no/xml/object_types/organization.kmd#oid1;http://xml.metis.no/xml/relationship_types/fills-filled_by.kmd#oid1;in
http://xml.metis.no/xml/relationship_types/has_role-role_of.kmd#oid1;http://xml.metis.no/xml/object_types/application.kmd#oid1;http://xml.metis.no/xml/object_types/role.kmd#oid1;http://xml.metis.no/xml/relationship_types/fills-filled_by.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/has_role-role_of.kmd#oid1;http://xml.metis.no/xml/object_types/person.kmd#oid1;http://xml.metis.no/xml/object_types/role.kmd#oid1;http://xml.metis.no/xml/relationship_types/fills-filled_by.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/has_role-role_of.kmd#oid1;http://xml.metis.no/xml/object_types/program.kmd#oid1;http://xml.metis.no/xml/object_types/role.kmd#oid1;http://xml.metis.no/xml/relationship_types/fills-filled_by.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/act_as-carried_out_by2.kmd#oid1;http://xml.metis.no/xml/object_types/position.kmd#oid1;http://xml.metis.no/xml/object_types/role.kmd#oid1;http://xml.metis.no/xml/relationship_types/fills-filled_by.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements.kmd#oid1;http://xml.metis.no/xml/object_types/information_object.kmd#oid1;http://xml.metis.no/xml/object_types/application_building_block.kmd#oid1;http://xml.metis.no/xml/relationship_types/implemented_by-implements-crud.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements.kmd#oid1;http://xml.metis.no/xml/object_types/informationgroup.kmd#oid1;http://xml.metis.no/xml/object_types/application_building_block.kmd#oid1;http://xml.metis.no/xml/relationship_types/implemented_by-implements-crud.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/uses-used_by2.kmd#oid1;http://xml.metis.no/xml/object_types/application.kmd#oid1;http://xml.metis.no/xml/object_types/concept.kmd#oid1;http://xml.metis.no/xml/relationship_types/has_concept-concept_of.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/fulfilled_by-fulfills.kmd#oid1;http://xml.metis.no/xml/object_types/objective.kmd#oid1;http://xml.metis.no/xml/object_types/project.kmd#oid1;http://xml.metis.no/xml/relationship_types/has-of2.kmd#oid1;in
http://xml.metis.no/xml/relationship_types/supported_by-supports6.kmd#oid1;http://xml.metis.no/xml/object_types/strategy.kmd#oid1;http://xml.metis.no/xml/object_types/principle.kmd#oid1;http://xml.metis.no/xml/relationship_types/supported_by-supports18.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/supported_by-supports16.kmd#oid1;http://xml.metis.no/xml/object_types/business_process.kmd#oid1;http://xml.metis.no/xml/object_types/application.kmd#oid1;http://xml.metis.no/xml/relationship_types/supported_by-supports6.kmd#oid1;out
